ID,study,ResearchAsisitant,Raven1,Raven2,Raven3,Raven4,Raven5,Raven6,Raven7,Raven8,Raven9,Raven10,Raven11,Raven12,Raven13,Raven14,Raven15,Raven16,Raven17,Raven18,Raven19,Raven20,Raven21,Raven22,Raven23,Raven24,Raven25,Raven26,Raven27,Raven28,Raven29,Raven30,Raven31,Raven32,Raven33,Raven34,Raven35,Raven36,sex,age,Raven_Total,Raven_percentile,Raven_probabilities,Raven_z_scores,Raven_IQ,Raven_IQ_cat,SAI_winsorised,SAI_winsorized_IQ,SAI_residuals,SAI_residuals_abs,Raven_IQ2,SAIQ_IQ_dif,raven_odd,raven_even,raven_even2
675,motivation,Oliwia,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,7,2,0.02,-2.053748911,69.19376634,1,10,85,-5.733272631,5.733272631,4787.7773,15.80623366,5,2,4
190,couples,couples_men,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,24,13,12,0.12,-1.174986792,82.37519812,1,10,85,-6.521971885,6.521971885,6785.673265,2.624801881,7,6,36
1021,data4, ,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,3,0.03,-1.880793608,71.78809588,1,10,85,-5.733272631,5.733272631,5153.53071,13.21190412,2,5,25
306,couples,couples_men,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,7,3,0.03,-1.880793608,71.78809588,1,10,85,-5.733272631,5.733272631,5153.53071,13.21190412,2,5,25
897,data4, ,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,3,1,0.01,-2.326347874,65.10478189,1,12,95,-3.207473128,3.207473128,4238.632625,29.89521811,1,2,4
42,couples,couples_women,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,1,0.01,-2.326347874,65.10478189,1,12,95,-3.207473128,3.207473128,4238.632625,29.89521811,1,2,4
679,motivation,JuliaWoj,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,8,0.08,-1.40507156,78.9239266,1,12,95,-4.259072133,4.259072133,6228.986189,16.0760734,7,4,16
819,motivation,Oliwia,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,29,0.29,-0.55338472,91.69922921,1,12,95,-5.179221263,5.179221263,8408.748637,3.300770793,10,8,64
1000,data4, ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45,3,1,0.01,-2.326347874,65.10478189,1,12,95,-3.207473128,3.207473128,4238.632625,29.89521811,1,2,4
392,couples,couples_men,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,45,3,1,0.01,-2.326347874,65.10478189,1,12,95,-3.207473128,3.207473128,4238.632625,29.89521811,1,2,4
474,motivation,AZochows,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,19,34,0.34,-0.412463129,93.81305306,1,13,100,-4.310671139,4.310671139,8800.888924,6.186946942,9,10,100
932,data4, ,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,5,1,0.01,-2.326347874,65.10478189,1,13,100,-2.470372879,2.470372879,4238.632625,34.89521811,4,1,1
79,couples,couples_women,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,1,0.01,-2.326347874,65.10478189,1,13,100,-2.470372879,2.470372879,4238.632625,34.89521811,4,1,1
593,motivation,Oliwia,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,17,25,0.25,-0.67448975,89.88265375,1,13,100,-4.047771388,4.047771388,8078.891445,10.11734625,8,9,81
674,motivation,Oliwia,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,7,2,0.02,-2.053748911,69.19376634,1,13,100,-2.733272631,2.733272631,4787.7773,30.80623366,4,3,9
684,motivation,LukWiecz,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,23,18,29,0.29,-0.55338472,91.69922921,1,13,100,-4.179221263,4.179221263,8408.748637,8.300770793,10,8,64
150,couples,couples_women,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,29,0.29,-0.55338472,91.69922921,1,13,100,-4.179221263,4.179221263,8408.748637,8.300770793,10,8,64
739,motivation,LukWiecz,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,8,4,0.04,-1.750686071,73.73970893,1,13,100,-2.864722506,2.864722506,5437.544673,26.26029107,5,3,9
785,motivation,NatGors,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,21,0.21,-0.806421247,87.90368129,1,13,100,-3.916321512,3.916321512,7727.057185,12.09631871,8,8,64
347,couples,couples_women,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,17,25,0.25,-0.67448975,89.88265375,1,13,100,-4.047771388,4.047771388,8078.891445,10.11734625,9,8,64
908,data4, ,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,9,9,0.09,-1.340755034,79.88867449,1,13,100,-2.996172382,2.996172382,6382.200313,20.11132551,6,3,9
388,couples,couples_women,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,9,9,0.09,-1.340755034,79.88867449,1,13,100,-2.996172382,2.996172382,6382.200313,20.11132551,6,3,9
1046,data4, ,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,44,13,17,0.17,-0.954165253,85.6875212,1,13,100,-3.521971885,3.521971885,7342.35129,14.3124788,9,4,16
391,couples,couples_men,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,44,13,17,0.17,-0.954165253,85.6875212,1,13,100,-3.521971885,3.521971885,7342.35129,14.3124788,9,4,16
916,data4, ,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,45,14,25,0.25,-0.67448975,89.88265375,1,13,100,-3.653421761,3.653421761,8078.891445,10.11734625,7,7,49
393,couples,couples_women,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,14,25,0.25,-0.67448975,89.88265375,1,13,100,-3.653421761,3.653421761,8078.891445,10.11734625,7,7,49
1016,data4, ,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,11,12,0.12,-1.174986792,82.37519812,1,13,100,-3.259072133,3.259072133,6785.673265,17.62480188,5,6,36
401,couples,couples_men,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,11,12,0.12,-1.174986792,82.37519812,1,13,100,-3.259072133,3.259072133,6785.673265,17.62480188,5,6,36
870,data4, ,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,8,9,0.09,-1.340755034,79.88867449,1,13,100,-2.864722506,2.864722506,6382.200313,20.11132551,4,4,16
413,couples,couples_women,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,8,9,0.09,-1.340755034,79.88867449,1,13,100,-2.864722506,2.864722506,6382.200313,20.11132551,4,4,16
909,data4, ,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,51,11,12,0.12,-1.174986792,82.37519812,1,13,100,-3.259072133,3.259072133,6785.673265,17.62480188,7,4,16
418,couples,couples_women,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51,11,12,0.12,-1.174986792,82.37519812,1,13,100,-3.259072133,3.259072133,6785.673265,17.62480188,7,4,16
1039,data4, ,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,16,42,0.42,-0.201893479,96.97159781,1,13,100,-3.916321512,3.916321512,9403.490782,3.028402187,9,7,49
421,couples,couples_men,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,16,42,0.42,-0.201893479,96.97159781,1,13,100,-3.916321512,3.916321512,9403.490782,3.028402187,9,7,49
431,couples,couples_women,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,8,12,0.12,-1.174986792,82.37519812,1,13,100,-2.864722506,2.864722506,6785.673265,17.62480188,5,3,9
954,data4, ,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,7,25,0.25,-0.67448975,89.88265375,1,13,100,-2.733272631,2.733272631,8078.891445,10.11734625,4,3,9
1,couples,couples_women,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,4,0.04,-1.750686071,73.73970893,1,14,105,-1.864722506,1.864722506,5437.544673,31.26029107,5,3,9
960,data4, ,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,8,4,0.04,-1.750686071,73.73970893,1,14,105,-1.864722506,1.864722506,5437.544673,31.26029107,5,3,9
592,motivation,LukWiecz,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,22,17,25,0.25,-0.67448975,89.88265375,1,14,105,-3.047771388,3.047771388,8078.891445,15.11734625,9,8,64
681,motivation,LukWiecz,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,16,21,0.21,-0.806421247,87.90368129,1,14,105,-2.916321512,2.916321512,7727.057185,17.09631871,8,8,64
683,motivation,LukWiecz,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,18,29,0.29,-0.55338472,91.69922921,1,14,105,-3.179221263,3.179221263,8408.748637,13.30077079,11,7,49
1002,data4, ,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,17,25,0.25,-0.67448975,89.88265375,1,15,110,-2.047771388,2.047771388,8078.891445,20.11734625,10,7,49
45,couples,couples_men,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,21,17,25,0.25,-0.67448975,89.88265375,1,15,110,-2.047771388,2.047771388,8078.891445,20.11734625,10,7,49
516,motivation,Oliwia,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,21,19,34,0.34,-0.412463129,93.81305306,1,15,110,-2.310671139,2.310671139,8800.888924,16.18694694,9,10,100
1062,data4, ,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22,17,25,0.25,-0.67448975,89.88265375,1,15,110,-2.047771388,2.047771388,8078.891445,20.11734625,10,7,49
594,motivation,Oliwia,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,22,17,25,0.25,-0.67448975,89.88265375,1,15,110,-2.047771388,2.047771388,8078.891445,20.11734625,9,8,64
87,couples,couples_men,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,22,17,25,0.25,-0.67448975,89.88265375,1,15,110,-2.047771388,2.047771388,8078.891445,20.11734625,10,7,49
143,couples,couples_women,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,2,0.02,-2.053748911,69.19376634,1,15,110,-0.733272631,0.733272631,4787.7773,40.80623366,3,4,16
146,couples,couples_women,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,15,0.15,-1.036433389,84.45349916,1,15,110,-1.653421761,1.653421761,7132.39352,25.54650084,5,9,81
189,couples,couples_men,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,10,6,0.06,-1.554773595,76.67839608,1,15,110,-1.127622258,1.127622258,5879.576426,33.32160392,5,5,25
740,motivation,Oliwia,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,24,12,10,0.1,-1.281551566,80.77672652,1,15,110,-1.390522009,1.390522009,6524.879547,29.22327348,4,8,64
742,motivation,Oliwia,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,24,15,15,0.15,-1.036433389,84.45349916,1,15,110,-1.784871636,1.784871636,7132.39352,25.54650084,10,5,25
743,motivation,JanAntcz,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,18,29,0.29,-0.55338472,91.69922921,1,15,110,-2.179221263,2.179221263,8408.748637,18.30077079,9,9,81
924,data4, ,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25,15,18,0.18,-0.915365088,86.26952368,1,15,110,-1.784871636,1.784871636,7442.430716,23.73047632,8,7,49
233,couples,couples_women,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,15,18,0.18,-0.915365088,86.26952368,1,15,110,-1.784871636,1.784871636,7442.430716,23.73047632,8,7,49
234,couples,couples_women,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,25,17,25,0.25,-0.67448975,89.88265375,1,15,110,-2.047771388,2.047771388,8078.891445,20.11734625,8,9,81
901,data4, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,18,29,0.29,-0.55338472,91.69922921,1,15,110,-2.179221263,2.179221263,8408.748637,18.30077079,10,8,64
235,couples,couples_women,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18,29,0.29,-0.55338472,91.69922921,1,15,110,-2.179221263,2.179221263,8408.748637,18.30077079,10,8,64
1011,data4, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,26,5,1,0.01,-2.326347874,65.10478189,1,15,110,-0.470372879,0.470372879,4238.632625,44.89521811,2,3,9
